Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
0,66.73,79.0,29.93,3.8466699999999996,9.5,248.0,66.73,66.7,60.0
0,66.17,81.0,29.92,3.60333,9.3,254.0,66.17,66.2,60.1
0,65.77,83.0,29.91,4.465,13.0,269.0,65.77,65.8,60.4
0,64.92,86.0,29.91,3.5683300000000004,12.0,272.0,64.92,64.9,60.5
0,63.71,89.0,29.92,2.45,7.9,287.0,63.71,63.7,60.4
0,62.55,91.0,29.93,2.23833,5.5,267.0,62.55,62.5,59.9
0,61.9,93.0,29.95,2.10833,6.0,281.0,61.9,61.9,59.7
0,62.78,91.0,29.97,1.685,7.0,260.0,62.78,62.8,60.0
1,66.7,80.0,29.98,1.99167,7.0,315.0,66.7,66.7,60.4
0,70.02,64.0,30.0,3.9933300000000003,14.0,26.0,70.02,70.0,57.3
0,70.77,52.0,30.02,5.37667,16.6,13.0,70.77,70.8,52.1
0,72.33,47.0,30.03,4.33,11.6,8.0,72.33,72.3,51.0
0,73.64,45.0,30.02,3.5316699999999996,11.9,1.0,73.64,73.6,51.2
0,74.22,44.0,30.02,3.39667,9.5,358.0,74.22,74.2,50.6
0,75.12,39.0,30.02,3.5066699999999997,10.5,339.0,75.12,75.1,48.2
1,73.97,37.0,30.03,4.45667,14.0,18.0,73.97,74.0,45.7
1,69.9,36.0,30.06,5.96833,17.5,54.0,69.9,69.9,41.7
0,66.77,37.0,30.09,5.09667,14.1,30.0,66.77,66.8,39.8
0,62.73,44.0,30.13,5.55333,15.4,48.0,62.73,62.7,40.6
0,59.1,49.0,30.17,5.00833,14.6,62.0,59.1,59.1,40.0
0,57.16,50.0,30.2,4.25667,14.6,74.0,57.16,57.2,38.9
0,55.84,53.0,30.21,2.6633299999999998,8.4,58.0,55.84,55.8,39.0
0,54.94,55.0,30.23,3.46,9.5,79.0,54.94,54.9,39.2
0,53.45,58.0,30.24,1.78167,8.4,54.0,53.45,53.5,38.9
0,50.36,63.0,30.25,0.23833000000000001,2.1,328.0,50.36,50.4,38.2
0,48.16,70.0,30.26,0.31833,2.1,247.0,48.16,48.2,38.9
0,46.87,73.0,30.26,0.17332999999999998,2.2,315.0,46.87,46.9,38.6
0,45.06,78.0,30.28,0.05832999999999999,1.6,270.0,45.06,45.1,38.5
0,43.7,82.0,30.29,0.22333000000000003,2.6,261.0,43.7,43.7,38.5
0,42.7,86.0,30.3,0.305,2.2,315.0,42.7,42.7,38.7
